Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000043,E09000003,Barnet,Brunswick Park,"Rowe, James",LAB,Labour Party,1820,,3
E05000043,E09000003,Barnet,Brunswick Park,"Savvides, Antonis",CON,Conservative Party,1742,,3
E05000043,E09000003,Barnet,Brunswick Park,"Javes, Howard T. C.",GRE,Green Party,499,,3
E05000043,E09000003,Barnet,Brunswick Park,"Beeton, Sandra J. Ms.",LD,Liberal Democrats,270,,3
E05000043,E09000003,Barnet,Brunswick Park,"Ritson, Jennifer W. Ms.",LD,Liberal Democrats,218,,3
E05000043,E09000003,Barnet,Brunswick Park,"Otten, Sakura G. Ms.",LD,Liberal Democrats,168,,3
E05000044,E09000003,Barnet,Burnt Oak,"Farrier, Claire Ms.*",LAB,Labour Party,2622,Yes,3
E05000044,E09000003,Barnet,Burnt Oak,"O-Macauley, Charlie",LAB,Labour Party,2223,Yes,3
E05000044,E09000003,Barnet,Burnt Oak,"Naqvi, Ammar",LAB,Labour Party,2177,Yes,3
E05000044,E09000003,Barnet,Burnt Oak,"Gurung, Lachhya",CON,Conservative Party,889,,3
E05000044,E09000003,Barnet,Burnt Oak,"Connolly, John J.",CON,Conservative Party,854,,3
E05000044,E09000003,Barnet,Burnt Oak,"Karnani, Richa",CON,Conservative Party,651,,3
E05000044,E09000003,Barnet,Burnt Oak,"Curati, Maggie Ms.",GRE,Green Party,447,,3
E05000044,E09000003,Barnet,Burnt Oak,"Alabi, Bidemi",IND,Independent,328,,3
E05000044,E09000003,Barnet,Burnt Oak,"Roberts, Michael C.",LD,Liberal Democrats,286,,3
E05000044,E09000003,Barnet,Burnt Oak,"Iwi, Diana C. Ms.",LD,Liberal Democrats,242,,3
E05000044,E09000003,Barnet,Burnt Oak,"Kiyingi, Yahaya D.",LD,Liberal Democrats,152,,3
E05000045,E09000003,Barnet,Childs Hill,"Ryde, Shimon",CON,Conservative Party,1544,Yes,3
E05000045,E09000003,Barnet,Childs Hill,"Zinkin, Peter",CON,Conservative Party,1536,Yes,3
E05000045,E09000003,Barnet,Childs Hill,"Cohen, Jack B.*",LD,Liberal Democrats,1509,Yes,3
E05000045,E09000003,Barnet,Childs Hill,"Grover, Rohit R.",CON,Conservative Party,1500,,3
E05000045,E09000003,Barnet,Childs Hill,"Smith, Andrew",LAB,Labour Party,1463,,3
E05000045,E09000003,Barnet,Childs Hill,"Ajakaiye, Ade",LAB,Labour Party,1408,,3
E05000045,E09000003,Barnet,Childs Hill,"Patel, Nila Ms.",LAB,Labour Party,1381,,3
E05000045,E09000003,Barnet,Childs Hill,"Henry, Charlotte A. Ms.",LD,Liberal Democrats,1222,,3
E05000045,E09000003,Barnet,Childs Hill,"Davies, Jonathan M.",LD,Liberal Democrats,1198,,3
E05000045,E09000003,Barnet,Childs Hill,"Marasco, Francesco E.",GRE,Green Party,501,,3
E05000046,E09000003,Barnet,Colindale,"Narenthira, Nagus",LAB,Labour Party,2190,Yes,3
E05000046,E09000003,Barnet,Colindale,"Sargeant, Gill Ms.*",LAB,Labour Party,2088,Yes,3
E05000046,E09000003,Barnet,Colindale,"Zubairi, Zakia*",LAB,Labour Party,2015,Yes,3
E05000046,E09000003,Barnet,Colindale,"Akwaeze, Nneka",CON,Conservative Party,501,,3
E05000046,E09000003,Barnet,Colindale,"Nicholson, William J.",CON,Conservative Party,466,,3
E05000046,E09000003,Barnet,Colindale,"Bokaei, Golnar",CON,Conservative Party,420,,3
E05000046,E09000003,Barnet,Colindale,"Baskin, John J.",UKIP,UK Independence Party (UKIP),347,,3
E05000046,E09000003,Barnet,Colindale,"Ryan, Barry",UKIP,UK Independence Party (UKIP),309,,3
E05000046,E09000003,Barnet,Colindale,"Khan, Khalid",UKIP,UK Independence Party (UKIP),268,,3
E05000046,E09000003,Barnet,Colindale,"Estermann, Daniel",LD,Liberal Democrats,133,,3
E05000046,E09000003,Barnet,Colindale,"Curati, Maggie Ms.",GRE,Green Party,130,,3
E05000046,E09000003,Barnet,Colindale,"Newby, Andrew J.",GRE,Green Party,114,,3
E05000046,E09000003,Barnet,Colindale,"Marasco, Francesco",GRE,Green Party,108,,3
E05000046,E09000003,Barnet,Colindale,"Corney, Victor P. E.",LD,Liberal Democrats,90,,3
E05000046,E09000003,Barnet,Colindale,"Warsame, Sabriye H.",LD,Liberal Democrats,87,,3
E05000047,E09000003,Barnet,Coppetts,"Rawlings, Barry*",LAB,Labour Party,2256,Yes,3
E05000047,E09000003,Barnet,Coppetts,"Coakley-Webb, Pauline Ms.",LAB,Labour Party,2201,Yes,3
E05000047,E09000003,Barnet,Coppetts,"Patel, Reema Ms.",LAB,Labour Party,2179,Yes,3
E05000047,E09000003,Barnet,Coppetts,"Salinger, Kate Ms.*",CON,Conservative Party,1517,,3
E05000047,E09000003,Barnet,Coppetts,"Green, Lorna Ms.",CON,Conservative Party,1355,,3
E05000047,E09000003,Barnet,Coppetts,"Nicolaides, Andreas",CON,Conservative Party,1277,,3
E05000047,E09000003,Barnet,Coppetts,"Bunting, Rebecca Ms.",GRE,Green Party,640,,3
E05000047,E09000003,Barnet,Coppetts,"Bunting, Edward",GRE,Green Party,544,,3
